NomePlanilha;DataUltimaCompra;Grupo;Material;Quantidade;UnidadeMedida;ValorUnitario;ValorTotalItem
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 7/8""";12,00;m;12,57;150,84
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1.1/8""";28,00;m;14,82;414,96
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar;3,00;pç;18,00;54,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Conexões de cobre. Ref.: Eluma;1,00;vb;600,00;600,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás nitrogênio;3,00;unid.;180,00;540,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás acetileno;2,00;unid.;100,00;200,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás Oxigenio;2,00;unid.;100,00;200,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás R410a. Ref.: DuPont (VRF);12,00;kg;95,00;1.140,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Cola para espuma elastomérica. Ref.: Armacell Armaflex 520 S 0,9 L;2,00;litros;100,00;200,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);141,00;cj;8,00;1.128,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 1/4"" Solda Com Porta de Acesso (Tipo Schrader)";4,00;un;106,91;427,64
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 3/8"" Solda Com Porta de Acesso (Tipo Schrader)";7,00;un;102,70;718,90
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 1/2"" Solda Com Porta de Acesso (Tipo Schrader)";4,00;un;102,78;411,12
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 5/8"" Solda Com Porta de Acesso (Tipo Schrader)";7,00;un;123,67;865,69
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #26. Ref.: GUERDAU;247,00;kg;14,50;3.581,50
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS / DIFUSÃO DE AR;Junta flexivel em lona 70x100x70. Ref.: ROCKTEC;3,00;m;20,00;60,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE INSUFLAMENTO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-225X225 OU SIMILAR;3,00;pç;70,00;210,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE INSUFLAMENTO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-525X225 OU SIMILAR;6,00;pç;140,00;840,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE RETORNO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-525X225 OU SIMILAR;3,00;pç;140,00;420,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;CONTROLE E ELÉTRICA;Quadro elétrico para ventilador de ar externo 1,10Kw;1,00;vb;1.500,00;1.500,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTO;Cabo BUS (Cabo blindado 3x18 AWG) (VRF);224,00;m;10,50;2.352,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/4"" (19m)";2,70;kg;70,00;189,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (71m)";15,80;kg;70,00;1.106,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/2"" (41m)";12,40;kg;70,00;868,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (53m)";20,30;kg;70,00;1.421,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/4"" (9m)";4,20;kg;70,00;294,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (9m)";4,90;kg;75,00;367,50
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1.1/8"" (22m)";15,60;kg;75,00;1.170,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1/4""";24,00;m;8,00;192,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/8""";88,00;m;9,06;797,28
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1/2""";52,00;m;9,55;496,60
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 5/8""";66,00;m;10,67;704,22
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/4""";12,00;m;11,68;140,16
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 7/8""";12,00;m;12,57;150,84
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1.1/8""";28,00;m;14,82;414,96
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar;3,00;pç;18,00;54,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Conexões de cobre. Ref.: Eluma;1,00;vb;600,00;600,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás nitrogênio;3,00;unid.;216,00;648,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás acetileno;2,00;unid.;120,00;240,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás Oxigenio;2,00;unid.;120,00;240,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;30,00;30,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás R410a. Ref.: DuPont (VRF);23,00;kg;95,00;2.185,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Cola para espuma elastomérica. Ref.: Armacell Armaflex 520 S 0,9 L;2,00;litros;100,00;200,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);1,00;vb;5.000,00;5.000,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 1/4"" Solda Com Porta de Acesso (Tipo Schrader)";4,00;un;106,91;427,64
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 3/8"" Solda Com Porta de Acesso (Tipo Schrader)";7,00;un;102,70;718,90
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 1/2"" Solda Com Porta de Acesso (Tipo Schrader)";4,00;un;102,78;411,12
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 5/8"" Solda Com Porta de Acesso (Tipo Schrader)";7,00;un;123,67;865,69
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #26. Ref.: GUERDAU;247,00;kg;20,00;4.940,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS / DIFUSÃO DE AR;Junta flexivel em lona 70x100x70. Ref.: ROCKTEC;3,00;m;24,00;72,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE INSUFLAMENTO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-225X225 OU SIMILAR;3,00;pç;80,00;240,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE INSUFLAMENTO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-525X225 OU SIMILAR;6,00;pç;150,00;900,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE RETORNO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-525X225 OU SIMILAR;3,00;pç;150,00;450,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;CONTROLE E ELÉTRICA;Quadro elétrico para ventilador de ar externo 1,10Kw;1,00;vb;1.800,00;1.800,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTO;Cabo BUS (Cabo blindado 3x18 AWG) (VRF);224,00;m;10,50;2.352,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTO;GABINETE DE VENTILAÇÃO, SIROCCO, SIMPLES ASPIRAÇÃO, VAZÃO DE AR DE 5.619 M3/H, PRESSÃO ESTÁTICA DE 30MMCA - COM FILTROS G4+M5. REF.: BERLINERLUFT, MODELO BBS-450;1,00;pç;8.433,44;8.433,44
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/4"" (19m)";2,70;kg;68,60;185,21
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (71m)";15,80;kg;68,60;1.083,85
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/2"" (41m)";12,40;kg;68,60;850,61
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (53m)";20,30;kg;68,60;1.392,54
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/4"" (9m)";4,20;kg;68,60;288,11
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 7/8"" (9m)";4,90;kg;77,10;377,79
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1.1/8"" (22m)";15,60;kg;77,10;1.202,76
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1/4""";24,00;m;10,86;260,68
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/8""";88,00;m;11,04;971,55
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1/2""";52,00;m;18,87;981,01
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 5/8""";66,00;m;13,00;858,32
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 3/4""";12,00;m;14,49;173,82
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 7/8""";12,00;m;16,01;192,15
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Isolamento em borracha elastomérica com espessura 19mm (M) para tubo de cobre de 1.1/8""";28,00;m;19,49;545,75
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Caixa de passagem para split. Ref: Polar POP 2x1;3,00;pç;13,06;39,18
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Conexões de cobre. Ref.: Eluma;1,00;vb;627,00;627,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás nitrogênio;3,00;unid.;180,00;540,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás acetileno;2,00;unid.;100,00;200,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás Oxigenio;2,00;unid.;100,00;200,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);1,00;pç;20,01;20,01
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Gás R410a. Ref.: DuPont (VRF);12,00;kg;46,30;555,61
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Cola para espuma elastomérica. Ref.: Armacell Armaflex 520 S 0,9 L;2,00;litros;89,22;178,44
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Conjunto de calço de borracha ou suporte tipo mão francesa;2,00;cj;60,00;120,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);141,00;cj;8,00;1.128,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 1/4"" Solda Com Porta de Acesso (Tipo Schrader)";4,00;un;95,72;382,90
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 3/8"" Solda Com Porta de Acesso (Tipo Schrader)";7,00;un;95,72;670,07
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 1/2"" Solda Com Porta de Acesso (Tipo Schrader)";4,00;un;98,66;394,65
forum fpolis (fabricio)- AC17423-R1;05/03/2024;REDE FRIGORIGENA;"Válvula Esférica Danfoss GBC 5/8"" Solda Com Porta de Acesso (Tipo Schrader)";7,00;un;98,66;690,65
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #26. Ref.: GUERDAU;247,00;kg;14,50;3.581,50
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS / DIFUSÃO DE AR;Junta flexivel em lona 70x100x70. Ref.: ROCKTEC;3,00;m;20,00;60,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTOS;GRELHA DE INSUFLAMENTO DE AR EM ALUMÍNIO ANODIZADO, COM ALETAS VERTICAIS AJUSTÁVEIS, COM REGISTRO, DIMENSÕES DE 225x225MM. REF.: TROX, MODELO VAT-AG-225X225 OU SIMILAR;1,00;vb;1.296,00;1.296,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;CONTROLE E ELÉTRICA;Quadro elétrico para ventilador de ar externo 1,10Kw;1,00;vb;1.500,00;1.500,00
forum fpolis (fabricio)- AC17423-R1;05/03/2024;DUTO;Cabo BUS (Cabo blindado 3x18 AWG) (VRF);1,00;m;2.804,00;2.804,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/4"" (369m) / Eluma 563";52,20;kg;90,00;4.698,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (619m) / Eluma 758";137,40;kg;90,00;12.366,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/2"" (474m) / Eluma 368";143,40;kg;90,00;12.906,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (433m) / Eluma 563";165,90;kg;90,00;14.931,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 1/4” espessura de 9mm. Ref.: Armacel;563,00;m;5,80;3.265,40
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 3/8” espessura de 13mm.  Ref.: Armacel;758,00;m;6,00;4.548,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 1/2” espessura de 19mm.  Ref.: Armacel;368,00;m;9,54;3.510,72
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 5/8” espessura de 19mm.  Ref.: Armacel;563,00;m;10,65;5.995,95
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Caixa de passagem para split high-wall. Ref: Polar;37,00;pç;18,00;666,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Caixa de espera para condensadora para até 5 condensadoras com tampa para acabamento. Ref.: Polar;33,00;pç;110,00;3.630,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás nitrogênio;18,00;unid.;180,00;3.240,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás acetileno;13,00;unid.;100,00;1.300,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás Oxigenio;13,00;unid.;100,00;1.300,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);24,00;pç;30,00;720,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT) ELGIN;139,50;kg;75,00;10.462,50
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Cola para espuma elastomérica. Ref.: Armacell Armaflex 520 S 0,9 L;10,00;un;100,00;1.000,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;FITA ALUMINIZADA ESPECÍFICA PARA TUBULAÇÕES DE AR CONDICIONADO, ROLO DE 48 MM X 50 M;24,00;rolos;4,50;108,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Conjunto de calço de borracha (DN Plásticos) ou suporte tipo mão francesa;96,00;cj;60,00;5.760,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Materiais diversos (suportes, fixações, parafusos, porcas, arruelas, fitas, etc.);632,00;cj;10,00;6.320,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #26. Ref.: GUERDAU;546,00;kg;10,00;5.460,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS / DIFUSÃO DE AR;Chapa de aço galvanizado #24. Ref.: GUERDAU;817,00;kg;10,00;8.170,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Tubo de PVC Ø100 mm (tubo com 6 m) - Tigre / Amanco;180,00;m;15,00;2.700,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Luva PVC Ø100mm;11,00;pç;4,70;51,70
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Curva 90° PVC Ø100mm;50,00;pç;6,00;300,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Curva 45° PVC Ø100mm;13,00;pç;6,00;78,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Difusor circular com regulagem de vazão, em plástico abs. Diâmetro 100 mm.Ref.:Sicflux - RVA 100 MULTIVAC;149,00;pç;28,47;4.242,03
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Difusor circular com regulagem de vazão, em plástico abs. Diâmetro 150 mm.Ref.:Sicflux - RVA 150 MULTIVAC;31,00;pç;40,00;1.240,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Grelha externa de ar para renovação do ar.  Dimensão 325x165mm. Ref.: TROX AT 325x165 TROPICAL;1,00;pç;80,00;80,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Grelha externa de ar para renovação do ar.  Dimensão 425x165mm. Ref.: TROX AT 425x165 TROPICAL;1,00;pç;89,00;89,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Grelha externa de ar para renovação do ar.  Dimensão 425x225mm. Ref.: TROX AT 425x225 TROPICAL;1,00;pç;107,00;107,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;Grelha externa de ar para renovação do ar.  Dimensão 525x225mm. Ref.: TROX AT 525x225 TROPICAL;4,00;pç;119,00;476,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTOS;GRADE EM PLÁSTICO ABS. DIÂMETRO 100 MM. MULTIVAC;22,00;un;25,00;550,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTO;CABO DE PP 5 X 1,5MM PARA INTERLIGAÇÃO ENTRE EVAPORADORA E CONDENSADORA;2.000,00;m;1,80;3.600,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTO;Painel para Ventilador de ar externo (120W);1,00;cj.;1.200,00;1.200,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTO;Painel para Ventilador de ar externo (250W);1,00;cj.;1.200,00;1.200,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTO;Painel para Ventilador de ar externo (370W);3,00;cj.;1.200,00;3.600,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTO;Painel para Ventilador de ar externo (550W);2,00;cj.;1.200,00;2.400,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;DUTO;Intertravamento para exaustor de banheiro.;22,00;pç.;300,00;6.600,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/4"" (369m) / Eluma 563";65,60;kg;83,34;5.467,10
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 3/8"" (619m) / Eluma 758";154,80;kg;83,34;12.901,03
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 1/2"" (474m) / Eluma 368";84,20;kg;83,34;7.017,23
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;"Tubo de cobre diâmetro 5/8"" (433m) / Eluma 563";214,50;kg;83,34;17.876,43
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 1/4” espessura de 9mm. Ref.: Armacel;526,00;m;5,15;2.708,90
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 3/8” espessura de 13mm.  Ref.: Armacel;774,00;m;5,25;4.063,50
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Curva de cobre;1,00;cj;136,35;136,35
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 1/2” espessura de 19mm.  Ref.: Armacel;320,00;m;8,50;2.720,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Complemento Isolamento do Roubo;1,00;m;2.550,00;2.550,60
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Tubo de isolamento constituído de espuma elastomérica para isolamento do tubo de cobre de Ø 5/8” espessura de 19mm.  Ref.: Armacel;664,00;m;9,50;6.308,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Caixa de passagem para split high-wall. Ref: Polar;37,00;pç;11,30;418,10
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Caixa de espera para condensadora para até 5 condensadoras com tampa para acabamento. Ref.: Polar;33,00;pç;39,95;1.318,35
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás nitrogênio;14,00;unid.;210,00;2.940,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás acetileno;6,00;unid.;100,00;600,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás Oxigenio;6,00;unid.;100,00;600,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Elastomero;1,00;;499,68;499,68
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Proteção mecânica em plastico hospitalar branco liso 0,10mmx50m (10cm);24,00;pç;30,00;720,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Gás R410a. Ref.: EOS (SPLIT) ELGIN;139,50;kg;83,50;11.648,25
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;PVC;1,00;;20,00;20,00
FÓRUM ARAQUARÍ - AC14924;09/03/2026;REDE FRIGORIGENA;Fluxo de Solda;1,00;;110,10;110,10
